
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:2374         127.0.0.1:65001        ESTABLISHED     5488
  TCP    127.0.0.1:65001        127.0.0.1:2374         ESTABLISHED     5488
  TCP    192.168.100.107:1028   208.115.231.26:443     ESTABLISHED     5148
  TCP    192.168.100.107:1030   20.199.120.182:443     ESTABLISHED     5824
  TCP    192.168.100.107:2416   213.180.204.179:443    ESTABLISHED     14620
  TCP    192.168.100.107:2459   209.85.233.109:993     ESTABLISHED     3524
  TCP    192.168.100.107:2469   185.11.199.129:443     ESTABLISHED     3524
  TCP    192.168.100.107:2508   20.199.120.182:443     ESTABLISHED     6968
  TCP    192.168.100.107:2527   173.194.222.188:5228   ESTABLISHED     7596
  TCP    192.168.100.107:2537   213.180.193.234:443    ESTABLISHED     7596
  TCP    192.168.100.107:2539   213.180.204.179:443    ESTABLISHED     7596
  TCP    192.168.100.107:2548   52.112.100.10:443      ESTABLISHED     18240
  TCP    192.168.100.107:2549   52.111.255.0:443       ESTABLISHED     18240
  TCP    192.168.100.107:2552   24.144.124.197:443     ESTABLISHED     7596
  TCP    192.168.100.107:2555   54.175.178.208:443     ESTABLISHED     7596
  TCP    192.168.100.107:2557   104.18.29.120:443      ESTABLISHED     7596
  TCP    192.168.100.107:2577   52.112.120.234:443     ESTABLISHED     13764
  TCP    192.168.100.107:2620   213.180.193.234:443    ESTABLISHED     7596
  TCP    192.168.100.107:2643   87.245.212.59:443      CLOSE_WAIT      1828
  TCP    192.168.100.107:2648   35.212.10.49:443       ESTABLISHED     3524
  TCP    192.168.100.107:2650   213.180.193.234:443    ESTABLISHED     7596
  TCP    192.168.100.107:2653   23.64.233.215:443      CLOSE_WAIT      3816
  TCP    192.168.100.107:2662   188.114.97.11:443      TIME_WAIT       0
  TCP    192.168.100.107:2675   77.88.21.125:993       ESTABLISHED     3524
  TCP    192.168.100.107:2676   77.88.21.125:993       ESTABLISHED     3524
  TCP    192.168.100.107:2681   157.240.251.61:80      ESTABLISHED     16388
  TCP    192.168.100.107:2684   213.180.193.234:443    ESTABLISHED     7596
  TCP    192.168.100.107:2712   213.180.193.234:443    ESTABLISHED     7596
  TCP    192.168.100.107:2717   77.88.21.110:443       ESTABLISHED     7596
  TCP    192.168.100.107:2718   77.88.21.110:443       ESTABLISHED     7596
  TCP    192.168.100.107:2725   2.23.108.210:443       TIME_WAIT       0
  TCP    192.168.100.107:2726   2.23.108.210:443       TIME_WAIT       0
