Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8c.exe                      812 Console                    2    933В 964 K
1cv8c.exe                     1688 Console                    2    796В 640 K
1cv8c.exe                    19348 Console                    2    578В 460 K
ACCStd.exe                   12780 Console                    2     45В 544 K
ACCSvc.exe                    5140 Services                   0      5В 588 K
acrotray.exe                 16224 Console                    2     10В 740 K
AGMService.exe                5220 Services                   0     14В 732 K
AnyDesk.exe                   5148 Services                   0     12В 396 K
ApplicationFrameHost.exe     16284 Console                    2     40В 516 K
armsvc.exe                    5176 Services                   0      6В 148 K
audiodg.exe                   5072 Services                   0     31В 800 K
backgroundTaskHost.exe       18260 Console                    2     26В 376 K
browser.exe                    920 Console                    2    231В 424 K
browser.exe                   1316 Console                    2     94В 840 K
browser.exe                   2028 Console                    2    294В 440 K
browser.exe                   2608 Console                    2    176В 540 K
browser.exe                   3056 Console                    2     55В 320 K
browser.exe                   5264 Console                    2     19В 596 K
browser.exe                   5272 Console                    2     25В 088 K
browser.exe                   7596 Console                    2     50В 468 K
browser.exe                   9268 Console                    2    308В 352 K
browser.exe                   9520 Console                    2     69В 164 K
browser.exe                  10904 Console                    2     78В 856 K
browser.exe                  10912 Console                    2     59В 840 K
browser.exe                  11296 Console                    2     70В 960 K
browser.exe                  11900 Console                    2      9В 144 K
browser.exe                  12112 Console                    2     24В 400 K
browser.exe                  12908 Console                    2     82В 744 K
browser.exe                  14196 Console                    2    254В 700 K
browser.exe                  14272 Console                    2     32В 448 K
browser.exe                  16028 Console                    2    105В 240 K
browser.exe                  20080 Console                    2    157В 256 K
browser.exe                  20204 Console                    2     21В 596 K
browser.exe                  20352 Console                    2     50В 040 K
caffeine64.exe               17796 Console                    2     14В 796 K
CalculatorApp.exe            16744 Console                    2      8В 556 K
CefSharp.BrowserSubproces     3980 Console                    2     31В 788 K
CefSharp.BrowserSubproces    10812 Console                    2     35В 812 K
cfbackd.w32.exe               5200 Services                   0      8В 080 K
cmd.exe                       3916 Console                    2      5В 584 K
cmd.exe                      19556 Console                    2      5В 524 K
CompPkgSrv.exe               19092 Console                    2     10В 780 K
conhost.exe                    928 Console                    2     17В 344 K
conhost.exe                   4664 Services                   0      4В 812 K
conhost.exe                   5332 Console                    2      1В 924 K
conhost.exe                   7124 Services                   0      8В 128 K
conhost.exe                   7696 Services                   0      8В 020 K
conhost.exe                  10260 Console                    2     14В 228 K
csrss.exe                      788 Services                   0      6В 124 K
csrss.exe                    17952 Console                    2      8В 020 K
ctfmon.exe                   19468 Console                    2     48В 640 K
dasHost.exe                   3188 Services                   0     11В 120 K
dllhost.exe                  11088 Services                   0     11В 348 K
DtsApo4Service.exe            5236 Services                   0     14В 656 K
dwm.exe                      14648 Console                    2    173В 648 K
ePowerButton_NB.exe           3680 Console                    2     37В 720 K
esif_uf.exe                   5500 Services                   0      6В 248 K
explorer.exe                 15920 Console                    2    192В 888 K
FileCoAuth.exe               14496 Console                    2     28В 540 K
fontdrvhost.exe               1048 Services                   0      2В 672 K
fontdrvhost.exe              17844 Console                    2     12В 272 K
FxSound.exe                  14696 Console                    2     18В 536 K
ibtsiva.exe                   5292 Services                   0      4В 920 K
IGCC.exe                     17028 Console                    2     56В 256 K
IGCCTray.exe                 14440 Console                    2     78В 476 K
IntelCpHDCPSvc.exe            1880 Services                   0      7В 308 K
IntelCpHeciSvc.exe            2096 Services                   0      7В 104 K
ipoint.exe                    5368 Console                    2      9В 176 K
itype.exe                    17276 Console                    2      8В 580 K
jhi_service.exe               5520 Services                   0      6В 080 K
KAPS.exe                      8176 Services                   0      7В 376 K
KAPSService.exe               7904 Services                   0     16В 896 K
KillerAnalyticsService.ex     5432 Services                   0      9В 480 K
KillerNetworkService.exe      5988 Services                   0     12В 024 K
LMS.exe                       5528 Services                   0      8В 952 K
LsaIso.exe                     984 Services                   0      3В 504 K
lsass.exe                      992 Services                   0     28В 064 K
Mailbird.exe                  3524 Console                    2    486В 592 K
mDNSResponder.exe             5160 Services                   0      6В 432 K
Memory Compression            3008 Services                   0    140В 024 K
Microsoft.SharePoint.exe     10400 Console                    2     41В 284 K
MKCHelper.exe                 8164 Console                    2      3В 452 K
msedge.exe                    2592 Console                    2    121В 944 K
msedge.exe                    3816 Console                    2     32В 880 K
msedge.exe                    7440 Console                    2     64В 152 K
msedge.exe                   15404 Console                    2     18В 072 K
msedge.exe                   17252 Console                    2      9В 052 K
MsMpEng.exe                   5764 Services                   0    294В 076 K
NisSrv.exe                    8996 Services                   0     17В 724 K
nvcontainer.exe               3256 Console                    2     43В 688 K
nvcontainer.exe               5488 Services                   0     38В 688 K
NVDisplay.Container.exe       2532 Services                   0     34В 544 K
NVDisplay.Container.exe      10788 Console                    2     44В 944 K
NVIDIA Web Helper.exe         1380 Console                    2     14В 592 K
